areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2020-05-02,424,26473
nation,England,E92000001,2020-05-01,479,26049
nation,England,E92000001,2020-04-30,484,25570
nation,England,E92000001,2020-04-29,494,25086
nation,England,E92000001,2020-04-28,499,24592
nation,England,E92000001,2020-04-27,506,24093
nation,England,E92000001,2020-04-26,560,23587
nation,England,E92000001,2020-04-25,555,23027
nation,England,E92000001,2020-04-24,603,22472
nation,England,E92000001,2020-04-23,594,21869
nation,England,E92000001,2020-04-22,643,21275
nation,England,E92000001,2020-04-21,650,20632
nation,England,E92000001,2020-04-20,685,19982
nation,England,E92000001,2020-04-19,686,19297
nation,England,E92000001,2020-04-18,706,18611
nation,England,E92000001,2020-04-17,742,17905
nation,England,E92000001,2020-04-16,755,17163
nation,England,E92000001,2020-04-15,782,16408
nation,England,E92000001,2020-04-14,769,15626
nation,England,E92000001,2020-04-13,805,14857
nation,England,E92000001,2020-04-12,857,14052
nation,England,E92000001,2020-04-11,864,13195
nation,England,E92000001,2020-04-10,850,12331
nation,England,E92000001,2020-04-09,873,11481
nation,England,E92000001,2020-04-08,975,10608
nation,England,E92000001,2020-04-07,910,9633
nation,England,E92000001,2020-04-06,806,8723
nation,England,E92000001,2020-04-05,829,7917
nation,England,E92000001,2020-04-04,839,7088
nation,England,E92000001,2020-04-03,743,6249
nation,England,E92000001,2020-04-02,732,5506
nation,England,E92000001,2020-04-01,698,4774
nation,England,E92000001,2020-03-31,602,4076
nation,England,E92000001,2020-03-30,542,3474
nation,England,E92000001,2020-03-29,464,2932
nation,England,E92000001,2020-03-28,384,2468
nation,England,E92000001,2020-03-27,374,2084
nation,England,E92000001,2020-03-26,337,1710
nation,England,E92000001,2020-03-25,278,1373
nation,England,E92000001,2020-03-24,219,1095
nation,England,E92000001,2020-03-23,173,876
nation,England,E92000001,2020-03-22,153,703
nation,England,E92000001,2020-03-21,116,550
nation,England,E92000001,2020-03-20,102,434
nation,England,E92000001,2020-03-19,67,332
nation,England,E92000001,2020-03-18,67,265
nation,England,E92000001,2020-03-17,50,198
nation,England,E92000001,2020-03-16,43,148
nation,England,E92000001,2020-03-15,32,105
nation,England,E92000001,2020-03-14,20,73
nation,England,E92000001,2020-03-13,16,53
nation,England,E92000001,2020-03-12,12,37
nation,England,E92000001,2020-03-11,8,25
nation,England,E92000001,2020-03-10,3,17
nation,England,E92000001,2020-03-09,5,14
nation,England,E92000001,2020-03-08,3,9
nation,England,E92000001,2020-03-07,0,6
nation,England,E92000001,2020-03-06,0,6
nation,England,E92000001,2020-03-05,3,6
nation,England,E92000001,2020-03-04,0,3
nation,England,E92000001,2020-03-03,2,3
nation,England,E92000001,2020-03-02,1,1
